,event name,Classification,genre,venue,Date,Zip code,City,State
197,Nashville Sounds at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-25,38103,Memphis,Tennessee
198,Nashville Sounds at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-26,38103,Memphis,Tennessee
199,Nashville Sounds at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-27,38103,Memphis,Tennessee
200,Escape the Fate W/ Slaves - Beautiful Human Tour,Music,Metal,Growlers,2018-10-07,38104,Memphis,Tennessee
201,Escape the Fate,Music,Metal,Growlers,2018-10-07,38104,Memphis,Tennessee
202,Cannibal Corpse W/ Hate Eternal / Harms Way,Music,Metal,Growlers,2018-12-03,38104,Memphis,Tennessee
203,"The Stompdown ""a National Touring Step Competition""",Miscellaneous,Undefined,Cannon Center for the Performing Arts,2018-09-07,38103,Memphis,Tennessee
204,David Feherty,Miscellaneous,Undefined,The Orpheum Theatre Memphis,2018-11-15,38103,Memphis,Tennessee
205,St. Jude Children's Research Hospital,Miscellaneous,Undefined,FedExForum,2018-09-30,38103,Memphis,Tennessee
206,Matt & Kim,Undefined,Undefined,New Daisy Theatre,2018-09-09,38103,Memphis,Tennessee
