,event name,Classification,genre,venue,Date,Zip code,City,State
222,Rumours STL,Music,Other,The Ready Room,2018-12-15,63110,St. Louis,Missouri
223,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-15,63108,St Louis,Missouri
224,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-16,63108,St Louis,Missouri
225,2018-19 Broadway Series,Arts & Theatre,Theatre,Stifel Theatre,2018-12-16,63103,St. Louis,Missouri
226,Legally Blonde - The Musical,Arts & Theatre,Theatre,Stifel Theatre,2019-02-04,63103,St. Louis,Missouri
227,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-09,63108,St Louis,Missouri
228,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-10,63108,St Louis,Missouri
229,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-17,63108,St Louis,Missouri
230,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-21,63108,St Louis,Missouri
231,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-22,63108,St Louis,Missouri
232,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-23,63108,St Louis,Missouri
233,St. Louis Actors' Studio - Farragut North,Arts & Theatre,Theatre,The Gaslight Theater,2019-02-24,63108,St Louis,Missouri
234,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-20,63108,St Louis,Missouri
235,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-21,63108,St Louis,Missouri
236,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-25,63108,St Louis,Missouri
237,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-26,63108,St Louis,Missouri
238,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-27,63108,St Louis,Missouri
239,St. Louis Actors' Studio - True West,Arts & Theatre,Theatre,The Gaslight Theater,2019-04-28,63108,St Louis,Missouri
240,St. Louis Actors' Studio - 7th Annual LaBute New Theater Festival,Arts & Theatre,Theatre,The Gaslight Theater,2019-07-06,63108,St Louis,Missouri
