,event name,Classification,genre,venue,Date,Zip code,City,State
399,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-26,89169,Las Vegas,Nevada
400,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-30,89169,Las Vegas,Nevada
401,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-22,89169,Las Vegas,Nevada
402,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-19,89169,Las Vegas,Nevada
403,The Smashing Pumpkins:  Shiny And Oh So Bright Tour,Music,Alternative,T-Mobile Arena,2018-09-02,89158,Las Vegas,Nevada
404,South Point 400 - Monster Energy Nascar Cup Series,Sports,Motorsports/Racing,Las Vegas Motor Speedway,2018-09-16,89115,Las Vegas,Nevada
405,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-14,89154,Las Vegas,Nevada
406,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-28,89169,Las Vegas,Nevada
407,Rodney Carrington,Arts & Theatre,Comedy,David Copperfield Theater at MGM Grand Hotel and Casino,2018-12-07,89109,Las Vegas,Nevada
408,Lil Duval,Arts & Theatre,Comedy,House of Blues Las Vegas presented by Cricket Wireless,2018-08-25,89119,Las Vegas,Nevada
409,Ron White,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-15,89109,Las Vegas,Nevada
410,Rodney Carrington,Arts & Theatre,Comedy,David Copperfield Theater at MGM Grand Hotel and Casino,2018-12-06,89109,Las Vegas,Nevada
411,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-22,89169,Las Vegas,Nevada
412,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-28,89169,Las Vegas,Nevada
413,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-11-16,89109,Las Vegas,Nevada
414,Golden State Warriors at Los Angeles Lakers,Sports,Basketball,T-Mobile Arena,2018-10-10,89158,Las Vegas,Nevada
415,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-16,89169,Las Vegas,Nevada
416,Rodney Carrington,Arts & Theatre,Comedy,David Copperfield Theater at MGM Grand Hotel and Casino,2018-12-15,89109,Las Vegas,Nevada
417,Alejandro Fernandez,Music,World,Mandalay Bay Events Center,2018-09-15,89119,Las Vegas,Nevada
418,TOBY KEITH: Should've Been A Cowboy XXV Tour,Music,Country,The Sandbar at Red Rock Casino Resort & Spa,2018-10-26,89135,Las Vegas,Nevada
419,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-15,89169,Las Vegas,Nevada
420,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-30,89169,Las Vegas,Nevada
421,REO Speedwagon,Music,Rock,Orleans Showroom,2018-10-27,89103,Las Vegas,Nevada
422,Ron White,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-08,89109,Las Vegas,Nevada
423,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-12,89154,Las Vegas,Nevada
424,Vancouver Canucks at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-10-24,89158,Las Vegas,Nevada
425,Amanda Miguel Y Diego Verdaguer,Music,World,The Dallas Events Center at Texas Station Gambling Hall & Hotel,2018-10-12,89032,North Las Vegas,Nevada
426,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-06,89169,Las Vegas,Nevada
427,Cedric The Entertainer,Arts & Theatre,Comedy,The Joint at Hard Rock Hotel Las Vegas,2018-09-01,89169,Las Vegas,Nevada
428,An Intimate Evening with SANTANA Greatest Hits Live,Music,Rock,House of Blues Las Vegas presented by Cricket Wireless,2018-09-14,89119,Las Vegas,Nevada
429,Los Angeles Kings at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-09-28,89158,Las Vegas,Nevada
430,Washington Capitals at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-12-04,89158,Las Vegas,Nevada
431,Sublime with Rome,Music,Rock,Mandalay Bay Beach at Mandalay Bay Resort,2018-09-29,89119,Las Vegas,Nevada
432,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-07,89154,Las Vegas,Nevada
433,Anita Baker,Music,R&B,Encore Theater at Wynn Las Vegas,2018-08-29,89109,Las Vegas,Nevada
434,Anita Baker,Music,R&B,Encore Theater at Wynn Las Vegas,2018-09-01,89109,Las Vegas,Nevada
435,Anita Baker,Music,R&B,Encore Theater at Wynn Las Vegas,2018-09-02,89109,Las Vegas,Nevada
436,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-20,89169,Las Vegas,Nevada
437,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-29,89169,Las Vegas,Nevada
438,Dear Evan Hansen,Arts & Theatre,Undefined,The Smith Center for the Performing Arts,2019-01-19,89102,Las Vegas,Nevada
439,Ron White,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-07,89109,Las Vegas,Nevada
440,Ekoh,Music,Hip-Hop/Rap,Vinyl at Hard Rock Hotel & Casino Las Vegas,2018-08-05,89169,Las Vegas,Nevada
441,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-21,89169,Las Vegas,Nevada
442,An Intimate Evening with SANTANA Greatest Hits Live,Music,Rock,House of Blues Las Vegas presented by Cricket Wireless,2018-09-15,89119,Las Vegas,Nevada
443,Dallas Stars at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-12-09,89158,Las Vegas,Nevada
